Amount,Payment_Method,Merchant_Category,Is_International,Device_Type,Account_Age_Months,Previous_Fraud,Fraud
320.28,Credit Card,Shopping,1,Mobile,5,1,1
2272.0,Net Banking,Travel,0,Mobile,48,1,1
737.29,UPI,Travel,0,Desktop,12,0,0
2460.82,Net Banking,Shopping,0,Mobile,31,1,1
3496.89,Debit Card,Bills,1,Desktop,45,1,0
10729.36,UPI,Shopping,1,Mobile,30,1,1
83.77,Debit Card,Food,1,Mobile,59,0,0
2277.3,Wallet,Food,0,Desktop,45,0,0
1454.53,Credit Card,Bills,0,Desktop,27,0,0
702.86,UPI,Travel,0,Desktop,43,1,0
1473.0,Credit Card,Travel,1,Mobile,42,1,1
1509.73,Net Banking,Shopping,1,Desktop,6,0,1
4234.39,Wallet,Electronics,0,Desktop,15,0,0
2007.42,Debit Card,Bills,0,Mobile,42,0,0
6910.25,Wallet,Food,1,Desktop,37,1,0
9365.17,UPI,Shopping,1,Mobile,37,0,0
1927.4,Net Banking,Bills,1,Desktop,6,1,1
2771.03,UPI,Food,1,Mobile,9,0,0
12407.97,UPI,Travel,0,Mobile,13,1,0
2800.9,Net Banking,Bills,0,Mobile,52,0,0
94.28,Net Banking,Food,0,Desktop,32,1,0
1248.31,Credit Card,Electronics,0,Desktop,4,0,1
11752.46,Debit Card,Travel,0,Desktop,41,1,1
2420.37,Debit Card,Electronics,1,Mobile,34,1,0
552.98,Net Banking,Food,0,Mobile,53,0,0
5380.98,Net Banking,Shopping,0,Desktop,51,0,0
1321.03,Credit Card,Bills,0,Mobile,34,1,1
900.62,UPI,Shopping,0,Desktop,51,0,0
585.02,Net Banking,Travel,0,Mobile,21,1,0
1257.69,Net Banking,Bills,1,Mobile,44,0,0
803.78,Net Banking,Shopping,1,Mobile,11,1,0
2447.36,Net Banking,Travel,0,Mobile,51,1,0
541.84,Debit Card,Bills,1,Desktop,24,1,1
24476.5,UPI,Travel,0,Desktop,13,0,1
2952.38,Credit Card,Food,0,Desktop,11,0,0
696.97,Debit Card,Food,0,Mobile,17,1,1
3979.3,Net Banking,Food,0,Mobile,18,0,0
2929.76,UPI,Bills,1,Mobile,57,1,1
4718.18,UPI,Travel,0,Desktop,19,1,0
674.36,Wallet,Electronics,0,Mobile,21,0,0
480.45,Debit Card,Shopping,0,Mobile,5,0,0
1936.19,Credit Card,Bills,0,Mobile,36,0,0
7123.62,Net Banking,Travel,0,Mobile,27,0,0
7205.71,Debit Card,Travel,0,Desktop,11,0,0
1308.36,Credit Card,Electronics,0,Desktop,47,1,1
6119.95,Credit Card,Bills,0,Mobile,21,1,0
4109.61,Credit Card,Bills,1,Desktop,39,1,0
399.98,UPI,Electronics,1,Mobile,17,1,1
3425.4,Credit Card,Electronics,1,Desktop,41,1,1
6288.92,Wallet,Travel,1,Desktop,12,0,0
10480.7,Credit Card,Electronics,0,Desktop,51,0,0
1863.46,Wallet,Travel,0,Mobile,48,1,0
295.06,Credit Card,Travel,1,Desktop,52,0,0
5975.34,Credit Card,Bills,0,Desktop,55,0,0
1411.59,Net Banking,Shopping,1,Desktop,38,0,0
2217.22,Wallet,Shopping,1,Mobile,24,1,0
1746.02,Credit Card,Travel,0,Mobile,27,1,1
2147.87,UPI,Food,0,Desktop,57,0,0
1349.51,Credit Card,Travel,0,Mobile,17,1,0
6020.29,Net Banking,Bills,0,Mobile,14,0,0
1826.3,Debit Card,Shopping,0,Desktop,28,0,0
5272.4,Credit Card,Bills,0,Desktop,47,1,1
2556.63,UPI,Bills,1,Mobile,45,1,0
1941.56,Net Banking,Bills,0,Mobile,9,1,0
183.94,Wallet,Shopping,0,Mobile,45,0,0
1734.9,Credit Card,Shopping,1,Mobile,49,1,1
1063.32,Debit Card,Bills,1,Desktop,8,0,0
193.48,Credit Card,Electronics,0,Desktop,38,0,0
887.33,UPI,Travel,1,Desktop,5,0,1
2142.7,Credit Card,Shopping,1,Mobile,46,0,1
748.25,UPI,Bills,0,Desktop,55,0,0
57.9,Debit Card,Electronics,1,Mobile,32,1,1
7946.12,Debit Card,Travel,1,Mobile,22,0,0
3848.04,Debit Card,Travel,1,Desktop,54,0,1
2247.41,Net Banking,Shopping,0,Mobile,21,0,0
1332.85,UPI,Shopping,0,Desktop,2,1,1
1216.73,Credit Card,Food,0,Mobile,35,1,0
709.85,Debit Card,Food,0,Mobile,57,0,0
4730.83,Net Banking,Shopping,0,Desktop,35,0,0
18386.47,Wallet,Food,0,Mobile,8,0,0
15691.21,Wallet,Shopping,0,Mobile,40,0,1
1047.05,Net Banking,Travel,1,Mobile,7,0,1
135.5,UPI,Travel,0,Desktop,36,0,0
5389.92,Credit Card,Travel,1,Mobile,1,0,0
214.58,Credit Card,Electronics,1,Mobile,13,0,0
4200.3,Wallet,Bills,0,Mobile,5,0,0
5176.68,Credit Card,Travel,0,Mobile,9,1,0
4358.79,Credit Card,Shopping,0,Desktop,36,1,1
3612.26,Net Banking,Travel,0,Desktop,40,1,0
1527.98,UPI,Bills,0,Desktop,34,1,1
242.49,Wallet,Bills,0,Mobile,4,1,1
1568.22,Net Banking,Electronics,0,Desktop,38,0,0
1096.44,Wallet,Electronics,0,Mobile,8,1,1
352.97,Wallet,Food,0,Desktop,13,1,0
8851.59,Wallet,Electronics,1,Mobile,34,0,0
18.32,Wallet,Electronics,0,Mobile,19,1,1
2218.05,Credit Card,Travel,0,Mobile,16,0,0
3434.74,Debit Card,Bills,0,Mobile,17,0,0
2083.19,Debit Card,Electronics,1,Mobile,42,1,1
832.13,Credit Card,Bills,0,Mobile,38,0,0
154.59,Debit Card,Shopping,1,Desktop,2,1,1
3714.76,Credit Card,Bills,0,Mobile,56,0,0
1049.91,UPI,Travel,0,Mobile,34,0,0
989.7,Credit Card,Bills,0,Desktop,8,0,0
1038.12,Wallet,Bills,1,Mobile,56,0,0
1558.1,Wallet,Travel,1,Desktop,27,0,0
66.82,Credit Card,Electronics,0,Mobile,39,1,0
1941.29,UPI,Bills,1,Desktop,1,1,1
2388.73,Wallet,Travel,1,Desktop,30,0,1
11587.0,Net Banking,Bills,0,Mobile,21,0,1
724.79,Wallet,Bills,0,Desktop,19,0,0
3130.82,Wallet,Electronics,0,Desktop,22,0,0
624.18,Debit Card,Travel,0,Desktop,55,1,1
2098.0,Debit Card,Electronics,0,Mobile,10,1,0
2644.69,Wallet,Food,0,Desktop,8,0,0
2426.73,Debit Card,Electronics,0,Mobile,20,1,1
3442.94,Wallet,Electronics,1,Mobile,14,1,0
1866.24,Credit Card,Electronics,0,Desktop,46,1,0
5186.94,UPI,Food,1,Mobile,24,0,0
1027.34,UPI,Bills,1,Desktop,30,1,1
2202.97,UPI,Bills,1,Mobile,13,1,0
7459.22,UPI,Bills,0,Desktop,8,0,0
949.93,Net Banking,Shopping,1,Mobile,55,0,0
518.15,UPI,Bills,0,Mobile,34,1,0
431.02,UPI,Travel,1,Mobile,34,0,0
3837.4,UPI,Electronics,1,Desktop,41,1,1
4142.67,Credit Card,Electronics,0,Mobile,15,0,0
325.26,Credit Card,Bills,1,Mobile,49,1,1
2146.97,UPI,Bills,1,Desktop,26,1,1
3766.21,UPI,Electronics,0,Mobile,22,0,0
3682.51,Credit Card,Shopping,1,Mobile,23,1,1
2625.93,Debit Card,Travel,0,Mobile,8,0,0
11.48,Wallet,Electronics,0,Mobile,5,1,1
8462.74,Credit Card,Bills,1,Mobile,29,0,0
8016.05,Debit Card,Travel,1,Desktop,57,0,0
1339.96,Net Banking,Travel,1,Desktop,19,0,0
2497.12,Debit Card,Shopping,0,Mobile,34,0,0
1127.78,Credit Card,Electronics,0,Mobile,36,0,0
7131.92,Credit Card,Travel,1,Mobile,51,0,0
1706.52,UPI,Bills,0,Desktop,49,0,0
1421.14,Debit Card,Food,1,Mobile,56,0,1
9979.25,Wallet,Food,1,Mobile,37,1,0
369.97,Net Banking,Bills,0,Desktop,23,1,0
2042.55,Debit Card,Travel,0,Desktop,33,1,1
7985.12,UPI,Shopping,1,Mobile,25,0,0
3650.74,Wallet,Travel,1,Mobile,10,0,0
449.39,Debit Card,Bills,0,Mobile,21,0,0
3745.3,Debit Card,Bills,0,Desktop,13,1,0
605.64,Credit Card,Food,0,Desktop,24,1,0
4294.35,Debit Card,Bills,1,Desktop,17,1,1
3382.04,Credit Card,Travel,1,Mobile,25,1,1
1061.69,Credit Card,Shopping,1,Desktop,21,1,1
1935.4,Credit Card,Food,1,Desktop,19,1,1
3099.73,UPI,Food,1,Desktop,42,1,0
332.15,Debit Card,Shopping,0,Mobile,54,0,0
9425.73,Net Banking,Food,1,Desktop,28,1,1
6025.72,Net Banking,Bills,1,Mobile,35,1,1
1835.81,Debit Card,Food,0,Mobile,18,1,0
3018.84,Net Banking,Shopping,1,Mobile,35,1,1
1385.22,UPI,Shopping,0,Mobile,7,0,0
4377.47,Debit Card,Electronics,0,Desktop,18,0,0
2409.35,Wallet,Shopping,1,Mobile,36,1,1
5698.33,Credit Card,Shopping,1,Mobile,16,1,1
1391.64,Net Banking,Bills,0,Desktop,38,1,0
1917.58,Debit Card,Bills,1,Mobile,56,1,1
3129.93,UPI,Food,1,Desktop,36,0,0
3397.87,Wallet,Shopping,1,Mobile,45,1,0
109.8,UPI,Bills,1,Desktop,9,1,1
440.63,Net Banking,Electronics,0,Desktop,7,0,0
403.08,Net Banking,Bills,0,Mobile,3,1,1
1137.76,Wallet,Food,1,Desktop,44,1,1
160.83,UPI,Food,0,Mobile,28,0,0
3746.98,Wallet,Electronics,1,Desktop,54,0,0
2596.62,Net Banking,Shopping,1,Desktop,21,0,1
1016.55,Credit Card,Food,0,Mobile,35,0,0
3297.64,Debit Card,Shopping,0,Mobile,49,1,0
354.7,UPI,Food,0,Mobile,10,0,0
2354.51,UPI,Food,0,Mobile,47,0,0
5414.17,Wallet,Food,0,Desktop,46,1,0
830.78,UPI,Food,1,Desktop,38,0,0
1234.5,Net Banking,Shopping,0,Desktop,22,0,0
3707.25,Credit Card,Bills,1,Mobile,14,1,1
1601.48,Net Banking,Shopping,1,Desktop,25,0,1
3997.7,Debit Card,Travel,0,Mobile,38,0,0
2271.06,Net Banking,Shopping,1,Desktop,54,1,1
930.5,Debit Card,Shopping,0,Desktop,29,1,0
1871.4,Wallet,Bills,1,Mobile,36,1,1
127.65,Debit Card,Shopping,1,Mobile,26,1,1
3395.35,Wallet,Travel,0,Mobile,20,1,1
1820.46,Debit Card,Bills,0,Mobile,16,1,0
4447.38,UPI,Bills,0,Mobile,40,0,0
423.03,Credit Card,Food,1,Mobile,12,1,1
402.48,UPI,Travel,0,Desktop,53,1,1
238.38,Wallet,Travel,0,Mobile,47,1,0
4937.61,UPI,Travel,1,Desktop,34,1,1
601.72,Debit Card,Travel,0,Mobile,7,1,0
53.12,Credit Card,Food,1,Mobile,53,1,1
1254.76,Net Banking,Food,0,Desktop,55,1,1
2189.19,Wallet,Bills,0,Desktop,52,0,0
3080.49,Net Banking,Travel,0,Mobile,12,1,0
4.06,Net Banking,Food,1,Mobile,43,1,1
3263.08,Credit Card,Electronics,1,Mobile,13,1,1
10971.5,Wallet,Electronics,0,Desktop,47,1,0
3377.15,Credit Card,Food,1,Mobile,32,1,1
6864.88,UPI,Electronics,0,Desktop,33,0,0
2795.33,Debit Card,Travel,1,Mobile,56,0,0
1837.44,Debit Card,Bills,1,Mobile,22,0,1
495.78,UPI,Electronics,1,Desktop,40,0,0
203.86,Credit Card,Travel,0,Mobile,41,1,1
8311.94,Net Banking,Food,0,Mobile,34,1,1
1985.39,Credit Card,Food,0,Mobile,15,0,0
184.72,Credit Card,Food,1,Mobile,44,0,0
178.75,Wallet,Electronics,1,Mobile,26,1,1
13878.84,Debit Card,Shopping,1,Mobile,55,0,0
4614.0,Wallet,Shopping,0,Desktop,32,0,0
3157.68,UPI,Bills,1,Desktop,11,0,1
9871.79,Wallet,Bills,0,Desktop,28,1,1
4500.78,UPI,Travel,1,Desktop,17,0,1
766.15,UPI,Food,0,Mobile,44,0,0
2900.66,Credit Card,Bills,0,Mobile,57,0,0
2921.87,Debit Card,Shopping,1,Desktop,10,0,0
1135.65,Credit Card,Food,1,Desktop,19,1,1
476.86,Credit Card,Food,1,Desktop,53,0,0
2247.66,Net Banking,Electronics,1,Desktop,4,0,1
1473.88,Wallet,Food,0,Desktop,28,1,0
3088.54,Credit Card,Electronics,0,Mobile,1,1,1
1270.24,Net Banking,Travel,0,Mobile,52,1,1
1234.48,Wallet,Travel,0,Desktop,54,1,0
1904.57,UPI,Electronics,1,Mobile,47,1,0
187.63,Net Banking,Electronics,0,Mobile,46,1,0
192.67,Debit Card,Food,0,Mobile,49,1,1
8003.9,Debit Card,Travel,0,Desktop,20,0,0
2990.24,Credit Card,Travel,1,Desktop,11,0,0
136.76,Debit Card,Bills,0,Mobile,33,0,0
9505.56,UPI,Electronics,1,Desktop,27,0,0
4294.98,Credit Card,Electronics,0,Desktop,32,1,0
2083.07,Credit Card,Travel,0,Mobile,21,1,1
9835.1,Wallet,Bills,1,Desktop,6,0,0
963.53,Debit Card,Travel,0,Desktop,22,1,0
4292.05,Net Banking,Travel,0,Desktop,14,1,0
2372.79,Wallet,Bills,1,Mobile,13,1,0
1840.78,UPI,Food,1,Mobile,3,1,1
543.67,UPI,Shopping,1,Mobile,29,0,1
1969.48,Wallet,Shopping,1,Mobile,45,1,1
153.81,Net Banking,Bills,0,Desktop,33,1,0
442.02,Credit Card,Food,0,Desktop,11,1,0
4727.18,Net Banking,Travel,0,Desktop,11,0,0
1492.04,Debit Card,Travel,0,Mobile,44,1,0
9704.02,Debit Card,Travel,0,Desktop,16,0,0
3036.25,UPI,Electronics,0,Desktop,48,0,0
1566.03,Credit Card,Food,1,Desktop,59,0,0
11912.73,Debit Card,Travel,1,Desktop,57,0,1
741.99,Net Banking,Shopping,1,Desktop,37,0,0
1723.41,Credit Card,Bills,1,Mobile,19,1,0
581.1,Wallet,Travel,1,Mobile,38,0,1
2921.31,Net Banking,Food,0,Desktop,26,0,0
42.88,Wallet,Shopping,0,Mobile,44,1,0
4719.25,Debit Card,Travel,0,Desktop,59,1,0
1315.71,Credit Card,Electronics,1,Desktop,17,0,1
9666.82,Wallet,Food,0,Mobile,53,1,1
9166.24,Credit Card,Shopping,1,Mobile,34,1,1
4247.91,Credit Card,Electronics,1,Mobile,13,0,0
5777.01,UPI,Bills,1,Desktop,30,0,0
3801.07,Wallet,Shopping,0,Mobile,47,1,0
792.05,UPI,Food,1,Mobile,43,0,0
3295.24,Debit Card,Electronics,1,Mobile,59,1,1
9669.24,Net Banking,Food,0,Mobile,50,1,0
4430.32,Credit Card,Bills,1,Desktop,22,0,0
2771.94,Debit Card,Travel,0,Desktop,37,0,0
27.24,UPI,Bills,1,Mobile,37,1,1
1419.56,Credit Card,Shopping,0,Desktop,28,1,1
778.94,Debit Card,Shopping,1,Desktop,43,1,1
141.45,Net Banking,Shopping,1,Desktop,42,1,0
1164.36,Credit Card,Travel,0,Mobile,2,0,0
2168.86,Wallet,Electronics,0,Mobile,48,1,0
300.78,Net Banking,Electronics,1,Desktop,37,1,1
846.32,Credit Card,Electronics,1,Mobile,29,0,0
1966.92,Wallet,Electronics,0,Desktop,13,1,0
1.33,UPI,Travel,1,Desktop,36,0,0
1022.76,Wallet,Electronics,1,Mobile,56,0,0
13841.54,Wallet,Bills,0,Mobile,34,0,0
14996.87,Wallet,Travel,0,Desktop,32,1,0
2156.75,Net Banking,Food,1,Desktop,7,1,1
1394.33,Wallet,Bills,1,Desktop,20,0,0
285.31,UPI,Electronics,1,Mobile,30,1,1
7518.75,Credit Card,Food,0,Desktop,49,1,1
1762.93,Wallet,Food,0,Mobile,26,1,0
1325.4,UPI,Bills,1,Desktop,18,0,0
14655.56,UPI,Shopping,0,Mobile,29,0,0
2490.85,Net Banking,Electronics,0,Desktop,27,0,0
1611.53,Debit Card,Electronics,1,Desktop,1,0,0
824.89,Net Banking,Shopping,0,Mobile,58,1,0
6295.4,Wallet,Bills,1,Mobile,20,1,1
322.1,Wallet,Bills,1,Mobile,10,0,0
5494.3,UPI,Food,1,Mobile,41,0,0
119.12,Credit Card,Shopping,1,Desktop,58,0,0
9392.6,Net Banking,Food,0,Desktop,22,1,0
6047.04,Debit Card,Electronics,0,Mobile,45,1,1
764.25,UPI,Bills,0,Mobile,4,0,0
2614.11,Debit Card,Electronics,1,Mobile,11,1,1
2485.7,Wallet,Food,0,Mobile,21,1,0
2181.34,Credit Card,Travel,1,Desktop,26,1,1
5491.37,UPI,Electronics,1,Mobile,45,1,1
1306.46,Credit Card,Food,1,Mobile,47,0,0
7022.65,UPI,Travel,1,Mobile,26,0,0
6692.42,Net Banking,Food,1,Mobile,21,0,0
4320.46,UPI,Electronics,1,Mobile,23,1,1
1940.71,UPI,Shopping,1,Mobile,15,1,1
2359.12,Debit Card,Bills,1,Mobile,45,0,0
2683.08,Wallet,Bills,0,Mobile,41,1,1
1051.63,Debit Card,Food,0,Mobile,48,1,0
5793.69,UPI,Bills,1,Mobile,28,1,1
3032.15,Credit Card,Food,0,Desktop,27,0,0
214.51,UPI,Food,0,Mobile,15,0,0
6348.23,Net Banking,Electronics,1,Mobile,1,0,1
1579.91,Debit Card,Bills,1,Desktop,24,0,1
5259.0,Debit Card,Bills,0,Mobile,36,1,1
3548.77,Net Banking,Travel,1,Mobile,24,0,0
1304.38,Debit Card,Electronics,1,Desktop,4,0,1
493.19,Wallet,Bills,1,Desktop,57,0,1
1866.91,Wallet,Travel,1,Desktop,53,0,0
995.83,Net Banking,Electronics,1,Desktop,23,0,1
8021.38,Wallet,Electronics,1,Desktop,31,0,0
410.44,Wallet,Travel,1,Desktop,41,0,0
0.03,Debit Card,Food,0,Desktop,57,0,0
189.88,Debit Card,Shopping,0,Desktop,6,0,0
168.55,Net Banking,Travel,0,Mobile,10,1,0
671.53,Wallet,Electronics,0,Mobile,39,0,0
1088.07,Net Banking,Travel,0,Desktop,20,1,0
785.72,Credit Card,Electronics,0,Desktop,51,1,1
159.89,Wallet,Bills,0,Desktop,4,0,0
10219.73,Net Banking,Shopping,0,Mobile,38,0,0
3947.23,Debit Card,Travel,1,Mobile,36,0,0
4063.18,Debit Card,Shopping,1,Mobile,5,0,1
4269.73,UPI,Shopping,1,Mobile,58,1,0
1082.61,UPI,Travel,0,Desktop,37,1,0
3740.86,Debit Card,Food,1,Desktop,27,1,1
950.05,Net Banking,Shopping,1,Mobile,57,0,1
1390.59,UPI,Shopping,1,Desktop,59,0,0
23078.52,Credit Card,Travel,1,Mobile,36,0,0
12570.93,UPI,Food,1,Mobile,56,1,1
4312.55,UPI,Food,0,Desktop,54,1,0
2679.47,Credit Card,Electronics,0,Desktop,49,0,0
1437.45,Net Banking,Bills,1,Desktop,55,0,0
2359.06,Wallet,Food,0,Mobile,10,0,0
62.66,Debit Card,Food,0,Desktop,34,0,0
4551.01,Credit Card,Bills,0,Mobile,9,1,0
939.4,Debit Card,Bills,1,Mobile,32,0,1
130.05,UPI,Travel,1,Mobile,57,0,1
1346.89,Debit Card,Electronics,1,Desktop,48,1,1
1055.32,Net Banking,Electronics,0,Mobile,25,0,0
417.58,Wallet,Electronics,0,Mobile,37,0,0
324.48,Debit Card,Travel,0,Desktop,1,0,1
3698.04,Credit Card,Electronics,0,Desktop,51,0,0
1382.68,Wallet,Travel,0,Mobile,41,1,1
1787.05,UPI,Shopping,0,Desktop,2,0,0
3584.14,Net Banking,Food,0,Desktop,32,1,1
310.2,Debit Card,Electronics,0,Desktop,6,0,0
7614.71,Debit Card,Electronics,0,Mobile,23,1,1
401.02,Debit Card,Electronics,0,Mobile,57,0,0
960.91,Debit Card,Bills,0,Mobile,59,0,0
159.87,Debit Card,Travel,1,Mobile,9,1,1
1270.93,Wallet,Food,0,Desktop,6,1,1
3282.18,UPI,Electronics,0,Desktop,53,1,1
5825.04,Credit Card,Travel,1,Desktop,49,0,1
3895.47,Net Banking,Food,0,Desktop,47,0,0
1714.51,Wallet,Travel,0,Desktop,1,1,0
1121.83,Credit Card,Shopping,1,Mobile,26,1,1
533.92,Net Banking,Bills,0,Mobile,32,1,0
1469.33,UPI,Bills,1,Mobile,4,1,1
1455.25,Wallet,Shopping,0,Mobile,19,0,0
4572.14,Net Banking,Shopping,0,Mobile,35,1,0
34.45,Net Banking,Electronics,1,Desktop,58,0,0
2870.65,Net Banking,Shopping,0,Mobile,34,0,0
1726.95,Net Banking,Travel,0,Desktop,4,0,0
2456.0,Net Banking,Shopping,0,Desktop,29,0,0
5096.91,UPI,Electronics,0,Desktop,57,1,0
2292.58,Debit Card,Shopping,0,Desktop,40,1,0
159.15,Debit Card,Bills,0,Mobile,1,0,0
1108.13,Net Banking,Shopping,1,Desktop,16,1,1
5955.46,Wallet,Electronics,1,Desktop,13,0,0
9772.33,Debit Card,Food,1,Desktop,35,1,1
9139.0,Debit Card,Travel,1,Mobile,16,1,0
423.71,Debit Card,Food,0,Mobile,10,0,0
4963.15,Debit Card,Bills,1,Mobile,31,0,1
1112.27,Wallet,Travel,1,Mobile,23,1,1
1141.8,Net Banking,Bills,0,Mobile,22,1,0
3350.66,Credit Card,Bills,1,Mobile,37,1,0
220.59,Wallet,Travel,1,Mobile,14,0,0
2941.48,Net Banking,Food,1,Desktop,3,1,1
5705.0,Credit Card,Food,0,Desktop,55,1,0
7096.16,Wallet,Food,1,Mobile,18,0,0
853.1,Debit Card,Electronics,1,Desktop,8,0,0
159.68,UPI,Electronics,1,Desktop,49,0,0
59.98,Net Banking,Shopping,1,Mobile,53,1,1
1099.21,UPI,Electronics,0,Mobile,27,0,0
1591.33,Debit Card,Electronics,0,Desktop,6,1,0
1219.62,UPI,Shopping,1,Mobile,57,0,0
6310.82,Debit Card,Bills,0,Mobile,5,0,0
212.4,UPI,Electronics,1,Desktop,59,1,0
1319.49,UPI,Shopping,0,Desktop,50,0,0
1700.95,Wallet,Shopping,1,Desktop,19,1,1
3395.34,Wallet,Travel,1,Desktop,59,1,1
174.75,UPI,Travel,1,Desktop,47,0,0
1441.09,Credit Card,Electronics,1,Mobile,33,0,1
3079.44,Wallet,Travel,0,Mobile,54,0,0
3966.99,Net Banking,Shopping,1,Desktop,23,1,0
665.65,UPI,Food,0,Mobile,19,1,0
4615.1,UPI,Bills,1,Desktop,29,0,0
320.66,Debit Card,Food,0,Mobile,29,1,1
1180.26,Net Banking,Travel,0,Mobile,10,1,0
7385.84,Credit Card,Electronics,0,Mobile,8,0,0
209.67,Credit Card,Shopping,0,Desktop,29,1,0
11330.41,Debit Card,Bills,1,Desktop,2,1,1
10588.1,Debit Card,Travel,0,Mobile,5,1,1
11583.63,UPI,Bills,0,Desktop,41,1,1
4016.92,Wallet,Travel,0,Desktop,26,1,1
2618.14,UPI,Travel,0,Mobile,49,0,0
1276.35,UPI,Travel,0,Mobile,12,0,0
230.78,Wallet,Electronics,1,Desktop,3,0,0
689.5,Wallet,Travel,0,Desktop,25,0,0
4043.08,Net Banking,Shopping,1,Desktop,2,1,1
1016.76,UPI,Bills,0,Desktop,10,0,0
3511.41,Wallet,Food,0,Mobile,26,0,0
2776.28,Credit Card,Shopping,1,Desktop,39,1,0
566.63,Net Banking,Shopping,0,Desktop,47,1,1
9073.83,Credit Card,Bills,1,Desktop,27,0,0
1688.33,Credit Card,Bills,0,Mobile,20,1,1
2741.72,Wallet,Shopping,1,Mobile,20,1,0
289.85,Debit Card,Food,1,Mobile,2,1,1
933.47,Debit Card,Travel,0,Mobile,34,0,0
3650.08,Wallet,Electronics,0,Desktop,6,1,0
866.62,Credit Card,Bills,1,Mobile,10,1,1
1797.26,Debit Card,Electronics,1,Desktop,32,0,1
2824.88,Credit Card,Bills,0,Desktop,41,0,0
2238.1,Credit Card,Electronics,1,Mobile,59,0,0
2731.44,UPI,Bills,0,Mobile,29,0,0
573.78,Debit Card,Shopping,0,Mobile,19,1,1
335.83,Wallet,Travel,0,Desktop,10,1,0
2842.25,UPI,Shopping,1,Desktop,59,1,0
4001.51,UPI,Food,1,Mobile,48,0,0
20.11,Wallet,Electronics,0,Desktop,56,0,0
2657.18,Wallet,Shopping,0,Mobile,34,0,0
1403.08,Credit Card,Travel,0,Mobile,45,1,0
1573.51,Wallet,Travel,0,Desktop,49,0,0
1461.39,UPI,Food,0,Desktop,7,0,0
875.48,UPI,Shopping,1,Desktop,36,0,1
8422.86,Credit Card,Food,0,Desktop,10,0,0
1527.66,Wallet,Shopping,1,Desktop,45,0,0
2881.11,Debit Card,Shopping,0,Desktop,32,0,0
3348.44,Net Banking,Travel,0,Mobile,48,1,0
3280.83,Debit Card,Travel,0,Mobile,10,1,0
25.06,Debit Card,Bills,1,Mobile,54,0,0
1188.23,Debit Card,Travel,1,Mobile,52,0,0
4139.56,UPI,Bills,0,Desktop,25,1,0
1707.59,Credit Card,Shopping,1,Desktop,15,1,0
5098.95,Credit Card,Electronics,1,Mobile,59,0,0
3856.07,Wallet,Shopping,0,Mobile,26,1,1
16767.84,Credit Card,Travel,1,Mobile,28,1,1
2850.25,Debit Card,Electronics,0,Desktop,57,0,0
3332.14,Credit Card,Bills,0,Mobile,50,1,0
3755.84,Debit Card,Electronics,0,Desktop,40,0,0
3183.9,Wallet,Bills,0,Desktop,53,1,0
6298.2,Net Banking,Food,1,Mobile,32,0,0
7274.98,Net Banking,Bills,1,Desktop,33,1,0
723.95,Wallet,Electronics,1,Mobile,5,0,0
240.85,Debit Card,Electronics,0,Mobile,34,1,1
193.7,Wallet,Food,0,Desktop,50,0,0
3958.53,Net Banking,Shopping,1,Mobile,58,0,1
2727.17,Net Banking,Food,0,Mobile,16,1,0
253.89,Net Banking,Food,0,Mobile,48,0,0
1215.05,Net Banking,Bills,0,Desktop,18,1,1
4905.66,Net Banking,Shopping,1,Desktop,19,0,0
2040.7,Wallet,Bills,1,Mobile,13,0,0
4636.14,Debit Card,Shopping,0,Desktop,3,0,0
2877.47,Debit Card,Travel,1,Mobile,1,1,1
876.51,Debit Card,Bills,0,Desktop,27,1,1
2210.98,Wallet,Electronics,1,Desktop,51,1,0
4418.73,Net Banking,Shopping,0,Mobile,17,0,0
7606.07,UPI,Electronics,0,Mobile,6,1,0
4824.1,Credit Card,Travel,0,Mobile,39,0,0
939.42,Net Banking,Food,0,Desktop,28,1,1
7404.4,Debit Card,Travel,0,Mobile,37,1,0
3294.0,Wallet,Food,1,Mobile,56,1,1
4644.65,UPI,Food,1,Mobile,2,0,0
2984.76,Debit Card,Travel,0,Desktop,43,1,0
3047.95,UPI,Shopping,1,Desktop,38,0,0
1673.76,Net Banking,Shopping,1,Mobile,36,0,0
2297.32,Wallet,Travel,0,Desktop,43,1,0
8259.8,UPI,Electronics,1,Mobile,28,1,1
1631.03,UPI,Shopping,0,Desktop,22,1,0
4612.72,Net Banking,Bills,0,Mobile,58,0,0
66.47,Debit Card,Travel,1,Desktop,4,0,1
2676.5,Debit Card,Shopping,1,Mobile,7,0,0
173.45,UPI,Food,1,Mobile,54,0,1
86.16,Wallet,Shopping,0,Mobile,28,0,0
334.11,Wallet,Travel,1,Mobile,55,1,1
3744.4,UPI,Shopping,1,Desktop,38,1,1
3194.14,Wallet,Food,0,Desktop,1,0,1
7732.13,Debit Card,Bills,1,Desktop,21,1,1
524.71,UPI,Travel,1,Mobile,5,1,1
4632.67,Wallet,Travel,0,Mobile,28,1,0
3273.89,UPI,Bills,1,Desktop,7,1,1
3824.96,Credit Card,Travel,1,Desktop,47,0,1
3466.83,UPI,Shopping,0,Desktop,35,0,0
4917.29,Credit Card,Travel,1,Desktop,1,0,0
1112.35,UPI,Shopping,0,Mobile,27,0,0
2170.85,UPI,Shopping,1,Desktop,23,1,1
882.64,Wallet,Electronics,0,Mobile,58,0,0
5290.49,Debit Card,Shopping,0,Desktop,25,1,1
